Communities,No of communities,Population,BH,HDW,SCPS,STPS,LMS,RHS,GWCL,Below 75,"75 -
299","300 -
1999","2000 - 4999 
",Over 5000,"RURAL Population Served
","RURAL Coverage
"
ADAAYILI,1,"1,088",1,0,0,0,0,0,0,0,0,400,0,0,400,36.76%
ASIBIYILI,1,124,1,0,0,0,0,0,0,0,124,0,0,0,124,100.00%
BIHINAYILI,1,631,3,0,0,0,0,0,0,0,0,631,0,0,631,100.00%
BOGGU,1,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Botingli (Nyolugu),1,450,2,0,0,0,0,0,0,0,0,450,0,0,450,100.00%
BOTINGLI (SAVELUGU),1,686,2,0,0,0,0,0,0,0,0,686,0,0,686,100.00%
BUNGLUNG,1,"1,629",1,0,0,0,0,0,0,0,0,400,0,0,400,24.55%
CHAHI-YAPALSI,1,"1,342",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
CHAHIYILI SAVELUGU,1,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
CHALLAM,1,722,1,0,0,0,0,0,0,0,0,400,0,0,400,55.40%
DAMDU,1,818,2,1,0,0,0,0,0,0,0,818,0,0,818,100.00%
DIARE,1,"18,351",5,0,0,1,0,0,0,0,0,0,0,"18,351","18,351",100.00%
DIKPUNGNI,1,725,2,1,0,0,0,0,0,0,0,725,0,0,725,100.00%
DINGA,1,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
DIPALI,1,"1,528",3,0,0,0,1,0,0,0,0,"1,528",0,0,"1,528",100.00%
DISIGA,1,258,2,0,0,0,0,0,0,0,258,0,0,0,258,100.00%
DUKO,1,849,2,0,0,0,0,0,1,0,0,849,0,0,849,100.00%
GALOGU,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
GBANGA,1,574,2,0,0,0,0,0,0,0,0,574,0,0,574,100.00%
Gushie,1,"1,705",3,0,0,0,1,0,0,0,0,"1,705",0,0,"1,705",100.00%
KADIA,1,"1,935",5,0,0,0,0,0,0,0,0,"1,935",0,0,"1,935",100.00%
KANSHEGU,1,"1,476",2,0,0,0,1,0,0,0,0,"1,476",0,0,"1,476",100.00%
Koduhizegu,1,732,0,0,0,0,0,0,1,0,0,732,0,0,732,100.00%
KPALIN YAPALSI,1,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
KPALING,1,894,0,0,0,0,0,0,1,0,0,894,0,0,894,100.00%
KPALIYOGU,1,"1,490",0,0,0,0,0,0,1,0,0,"1,490",0,0,"1,490",100.00%
kpalung,1,"1,701",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
KPENDUA,1,624,0,0,0,0,0,0,1,0,0,624,0,0,624,100.00%
KPONG,1,789,0,0,0,0,1,0,0,0,0,789,0,0,789,100.00%
Kukuobila,1,"1,204",4,0,0,0,0,0,0,0,0,"1,204",0,0,"1,204",100.00%
KULDANAALI,1,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
