"Number of Children Surviving by Education, Locality, Geographic_Area and Age",,,,,,,,
,,,,,,,,
Education,Locality,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Never attended,Rural,0.2,1.1,2.2,3.5,4.2,4.8,4.9
Never attended,Urban,0.2,1,1.9,3,3.7,4,4.1
Nursery,Rural,0,..,4,..,..,..,..
Nursery,Urban,0.5,..,..,..,..,4,..
Kindergarten,Rural,0,0,3,..,0,..,..
Kindergarten,Urban,0,0.5,..,3,7,..,..
Primary,Rural,0.1,0.9,1.9,3.2,3.9,5.2,3.8
Primary,Urban,0.2,0.8,1.8,2.6,3.5,4.6,3.9
JSS/JHS,Rural,0.1,0.9,1.7,2.8,3.3,3.5,4.2
JSS/JHS,Urban,0,0.7,1.6,2.8,3.4,3.9,4.7
Middle,Rural,..,..,..,..,..,..,6
Middle,Urban,..,..,..,..,..,..,2
SSS/SHS,Rural,0.1,0.4,1.1,2,3.6,4,4.5
SSS/SHS,Urban,0,0.2,1.1,2,2.7,3.5,2.8
Secondary,Rural,1,1,1.2,..,4,3,..
Secondary,Urban,0.3,0.4,1.6,0.9,3.3,3.7,3.6
Voc/technical/commercial,Rural,0,0,1.2,4,..,..,..
Voc/technical/commercial,Urban,..,0,0.6,1.5,2.1,..,..
Post middle/secondary Certificate,Rural,0,..,..,1,..,..,..
Post middle/secondary Certificate,Urban,0,0,0.2,1.5,4,5.3,4.3
Post middle/secondary Diploma,Rural,..,0.2,1,..,5,..,..
Post middle/secondary Diploma,Urban,0,0.2,1.2,1.2,2,2,2.5
Tertiary/HND,Rural,0,0.2,1.2,1.8,..,..,..
Tertiary/HND,Urban,0,0.1,0.6,1.8,2.2,3.4,3.5
Tertiary - Bachelor's Degree,Rural,0,0,0.4,1,3.5,0,8
Tertiary - Bachelor's Degree,Urban,0,0,1,1.5,2.6,2.4,2.2
Tertiary - Post graduate Certificate/Diploma,Rural,..,0,0.2,3,0,..,..
Tertiary - Post graduate Certificate/Diploma,Urban,..,0.2,0.6,1.7,1.8,2.2,3
Tertiary - Master's Degree,Rural,..,..,..,1,..,..,..
Tertiary - Master's Degree,Urban,..,..,0,4,2.2,..,..
Tertiary - PhD,Rural,..,..,..,..,..,..,..
Tertiary - PhD,Urban,..,0,..,..,0,1,..
Other (specify),Rural,..,..,..,..,..,..,..
Other (specify),Urban,..,..,..,..,5,..,..
