Typeofdwelling,Locality,Savelugu Municipal
Separate house (Detached),Rural,4556
Separate house (Detached),Urban,5824
Semi-detached house,Rural,504
Semi-detached house,Urban,666
Flat/Apartment,Rural,4
Flat/Apartment,Urban,114
Compound house (rooms),Rural,3835
Compound house (rooms),Urban,9263
Huts/Buildings (same compound),Rural,261
Huts/Buildings (same compound),Urban,50
Tent,Rural,0
Tent,Urban,0
Metal Container,Rural,5
Metal Container,Urban,13
Kiosk/poly kiosk,Rural,1
Kiosk/poly kiosk,Urban,0
Wooden structure,Rural,0
Wooden structure,Urban,1
Living quarters attached to office/shop,Rural,4
Living quarters attached to office/shop,Urban,4
Uncompleted building,Rural,29
Uncompleted building,Urban,144
Other,Rural,0
Other,Urban,4
