Place_of_birth,Education,Locality,Sex,0 years to 14 years,0-4,9-May,14-Oct,15 years to 64 years,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 years and older,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Locality of enumeration,Never attended,Rural,Male,4955,3266,1061,628,5510,555,677,702,819,622,700,473,436,240,286,621,147,172,115,110,44,24,6,3
Locality of enumeration,Never attended,Rural,Female,5282,3417,1137,728,6479,630,1083,1009,1006,819,702,436,361,194,239,550,103,161,113,117,39,14,0,3
Locality of enumeration,Never attended,Urban,Male,5802,4671,769,362,7182,525,668,705,1028,929,1051,825,693,341,417,923,232,278,170,155,54,25,3,6
Locality of enumeration,Never attended,Urban,Female,6072,4623,949,500,12324,582,1344,1840,2230,1767,1724,1041,834,415,547,1440,312,400,272,293,111,37,7,8
Locality of enumeration,Nursery,Rural,Male,403,272,130,1,5,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Nursery,Rural,Female,369,258,110,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Nursery,Urban,Male,947,687,259,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Nursery,Urban,Female,937,695,241,1,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Kindergarten,Rural,Male,938,389,547,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Kindergarten,Rural,Female,837,373,464,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Kindergarten,Urban,Male,1948,805,1142,1,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Kindergarten,Urban,Female,1820,790,1030,0,6,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Primary,Rural,Male,3772,0,1975,1797,531,152,116,95,53,49,28,19,12,3,4,10,3,1,3,3,0,0,0,0
Locality of enumeration,Primary,Rural,Female,2830,0,1550,1280,310,95,106,53,32,10,8,3,3,0,0,1,1,0,0,0,0,0,0,0
Locality of enumeration,Primary,Urban,Male,6828,0,3673,3155,916,226,188,122,134,83,67,37,25,20,14,18,10,4,1,1,0,2,0,0
Locality of enumeration,Primary,Urban,Female,6116,0,3416,2700,680,169,172,139,92,52,28,11,11,3,3,8,2,4,1,0,0,1,0,0
Locality of enumeration,JSS/JHS,Rural,Male,329,0,0,329,1642,932,246,153,136,84,50,25,14,2,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,JSS/JHS,Rural,Female,220,0,0,220,847,533,142,102,46,14,3,5,2,0,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,JSS/JHS,Urban,Male,708,0,0,708,3082,1781,411,261,266,166,103,65,17,12,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,JSS/JHS,Urban,Female,643,0,0,643,2422,1472,402,287,159,52,33,12,3,2,0,0,0,0,0,0,0,0,0,0
Locality of enumeration,Middle,Rural,Male,0,0,0,0,17,0,0,0,0,0,0,5,3,6,3,6,4,2,0,0,0,0,0,0
Locality of enumeration,Middle,Rural,Female,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Locality of enumeration,Middle,Urban,Male,0,0,0,0,56,0,0,0,0,0,0,6,18,17,15,39,17,12,5,4,1,0,0,0
Locality of enumeration,Middle,Urban,Female,0,0,0,0,17,0,0,0,0,0,0,1,1,8,7,4,1,2,0,1,0,0,0,0
Locality of enumeration,SSS/SHS,Rural,Male,4,0,0,4,1331,337,473,256,140,59,40,24,2,0,0,0,0,0,0,0,0,0,0,0
