Nationality,Education,Locality,Geographic_Area,Sex,0 years to 14 years,0-4,9-May,14-Oct,15 years to 64 years,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 years and older,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Ghanaian by birth,Never attended,Rural,Savelugu Municipal,Male,5126,3345,1110,671,6270,605,756,779,900,714,826,551,514,289,336,746,180,212,138,128,53,25,7,3
Ghanaian by birth,Never attended,Rural,Savelugu Municipal,Female,5547,3517,1217,813,9253,732,1390,1379,1502,1215,1107,705,558,299,366,804,154,227,162,182,49,22,2,6
Ghanaian by birth,Never attended,Urban,Savelugu Municipal,Male,5910,4757,778,375,7563,549,697,732,1064,984,1110,886,739,360,442,990,248,301,182,164,60,26,3,6
Ghanaian by birth,Never attended,Urban,Savelugu Municipal,Female,6214,4711,976,527,13539,626,1500,1990,2438,1936,1913,1147,924,462,603,1616,344,458,304,334,118,40,8,10
Ghanaian by birth,Nursery,Rural,Savelugu Municipal,Male,420,285,134,1,6,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Nursery,Rural,Savelugu Municipal,Female,388,272,115,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Nursery,Urban,Savelugu Municipal,Male,964,701,262,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Nursery,Urban,Savelugu Municipal,Female,960,711,248,1,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Kindergarten,Rural,Savelugu Municipal,Male,966,397,567,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Kindergarten,Rural,Savelugu Municipal,Female,886,385,500,1,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Kindergarten,Urban,Savelugu Municipal,Male,2019,833,1185,1,5,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Kindergarten,Urban,Savelugu Municipal,Female,1867,803,1064,0,6,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,Primary,Rural,Savelugu Municipal,Male,3901,0,2030,1871,633,162,132,114,67,66,38,23,16,8,7,12,5,1,3,3,0,0,0,0
Ghanaian by birth,Primary,Rural,Savelugu Municipal,Female,3114,0,1685,1429,467,121,152,87,57,27,12,4,6,0,1,1,1,0,0,0,0,0,0,0
Ghanaian by birth,Primary,Urban,Savelugu Municipal,Male,7111,0,3808,3303,961,233,195,127,137,89,74,41,29,20,16,24,11,5,3,2,0,3,0,0
Ghanaian by birth,Primary,Urban,Savelugu Municipal,Female,6378,0,3514,2864,798,184,191,166,115,66,36,17,14,5,4,12,3,6,1,1,0,1,0,0
Ghanaian by birth,JSS/JHS,Rural,Savelugu Municipal,Male,337,0,0,337,1759,987,263,166,148,96,54,27,16,2,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,JSS/JHS,Rural,Savelugu Municipal,Female,236,0,0,236,1073,616,200,137,76,27,8,6,3,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by birth,JSS/JHS,Urban,Savelugu Municipal,Male,742,0,0,742,3295,1891,439,281,288,174,113,74,22,13,0,0,0,0,0,0,0,0,0,0
