Age,Locality,Education,Male,Female
0 years to 14 years,Rural,Never attended,5192,5613
0 years to 14 years,Rural,Nursery,421,388
0 years to 14 years,Rural,Kindergarten,967,889
0 years to 14 years,Rural,Primary,3909,3119
0 years to 14 years,Rural,JSS/JHS,338,236
0 years to 14 years,Rural,Middle,0,0
0 years to 14 years,Rural,SSS/SHS,4,3
0 years to 14 years,Rural,Secondary,0,0
0 years to 14 years,Rural,Voc/technical/commercial,0,0
0 years to 14 years,Rural,Post middle/secondary Certificate,0,0
0 years to 14 years,Rural,Post middle/secondary Diploma,0,0
0 years to 14 years,Rural,Tertiary/HND,0,0
0 years to 14 years,Rural,Tertiary - Bachelor's Degree,0,0
0 years to 14 years,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
0 years to 14 years,Rural,Tertiary - Master's Degree,0,0
0 years to 14 years,Rural,Tertiary - PhD,0,0
0 years to 14 years,Rural,Other (specify),0,0
0 years to 14 years,Urban,Never attended,5918,6222
0 years to 14 years,Urban,Nursery,965,960
0 years to 14 years,Urban,Kindergarten,2019,1868
0 years to 14 years,Urban,Primary,7112,6381
0 years to 14 years,Urban,JSS/JHS,743,678
0 years to 14 years,Urban,Middle,0,0
0 years to 14 years,Urban,SSS/SHS,10,5
0 years to 14 years,Urban,Secondary,3,0
0 years to 14 years,Urban,Voc/technical/commercial,0,0
0 years to 14 years,Urban,Post middle/secondary Certificate,0,0
0 years to 14 years,Urban,Post middle/secondary Diploma,0,0
0 years to 14 years,Urban,Tertiary/HND,0,0
0 years to 14 years,Urban,Tertiary - Bachelor's Degree,0,0
0 years to 14 years,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
0 years to 14 years,Urban,Tertiary - Master's Degree,0,0
0 years to 14 years,Urban,Tertiary - PhD,0,0
0 years to 14 years,Urban,Other (specify),0,0
0-4,Rural,Never attended,3374,3541
0-4,Rural,Nursery,286,272
0-4,Rural,Kindergarten,397,386
0-4,Rural,Primary,0,0
0-4,Rural,JSS/JHS,0,0
0-4,Rural,Middle,0,0
0-4,Rural,SSS/SHS,0,0
0-4,Rural,Secondary,0,0
0-4,Rural,Voc/technical/commercial,0,0
0-4,Rural,Post middle/secondary Certificate,0,0
0-4,Rural,Post middle/secondary Diploma,0,0
0-4,Rural,Tertiary/HND,0,0
0-4,Rural,Tertiary - Bachelor's Degree,0,0
0-4,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
0-4,Rural,Tertiary - Master's Degree,0,0
0-4,Rural,Tertiary - PhD,0,0
0-4,Rural,Other (specify),0,0
0-4,Urban,Never attended,4762,4714
0-4,Urban,Nursery,702,711
0-4,Urban,Kindergarten,833,804
0-4,Urban,Primary,0,0
0-4,Urban,JSS/JHS,0,0
0-4,Urban,Middle,0,0
0-4,Urban,SSS/SHS,0,0
0-4,Urban,Secondary,0,0
0-4,Urban,Voc/technical/commercial,0,0
0-4,Urban,Post middle/secondary Certificate,0,0
0-4,Urban,Post middle/secondary Diploma,0,0
0-4,Urban,Tertiary/HND,0,0
0-4,Urban,Tertiary - Bachelor's Degree,0,0
0-4,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
0-4,Urban,Tertiary - Master's Degree,0,0
0-4,Urban,Tertiary - PhD,0,0
0-4,Urban,Other (specify),0,0
0,Rural,Never attended,714,754
