Community_Name,Male_Population,Female_Population,Total_Population,HouseHold,Head_Male,Head_Female
SAVELUGU,27077,28603,55680,10912,8103,2809
DIARE,7211,7875,15086,2624,2129,495
PONG-TAMALE,3506,3049,6555,1130,777,353
TARIKPAA,847,910,1757,238,225,13
LANGA,789,765,1554,251,214,37
KPONG,702,790,1492,221,179,42
NABOGU,720,720,1440,262,211,51
KANSHEGU,704,733,1437,284,189,95
DIPALI,653,698,1351,305,218,87
MOGLAA,637,676,1313,202,171,31
GUSHEI,663,647,1310,241,224,17
PIGU,620,649,1269,257,217,40
KADIA,617,648,1265,240,176,64
ZOOSALI,610,601,1211,208,186,22
KPALUNG,630,581,1211,187,186,1
NYOLO,575,612,1187,210,165,45
DINGA,554,593,1147,280,170,110
NAKPANZOO,560,546,1106,194,176,18
BUNGLUNG,542,563,1105,202,153,49
YIKPANI,575,495,1070,237,190,47
LALIGU,497,505,1002,154,151,3
TINDANG,486,514,1000,214,157,57
YING,493,466,959,173,142,31
TIBALI,453,500,953,166,127,39
LIBGA,455,468,923,167,125,42
KUKUOBILLA,426,450,876,181,153,28
YIZEGU,387,391,778,114,112,2
DUKO,373,394,767,139,114,25
KPALIN,364,373,737,136,118,18
YEPALSI(CHAPALUGU),349,346,695,132,113,19
KODUHIZEGU,284,354,638,101,96,5
ZAAZI,321,300,621,148,89,59
KPENDUA,305,308,613,112,98,14
SANKPEM,294,303,597,97,97,0
DIKPUNI,301,270,571,157,101,56
NAMBAGLA,267,296,563,114,94,20
BOGGU,273,264,537,87,86,1
TUYNAYILI,275,257,532,89,82,7
GALOGU,260,269,529,80,77,3
BONTIGLI,258,270,528,58,56,2
SAAKPULI,264,264,528,151,103,48
SANA,258,269,527,102,91,11
CHALLAM,262,262,524,89,80,9
NYETUA,250,259,509,132,104,28
BIHINAYILI,247,260,507,108,70,38
DAMDU,252,249,501,91,77,14
NAMBAGLA,273,220,493,79,73,6
DISIGA,243,199,442,99,92,7
YONG,229,209,438,76,73,3
ADAYILI,207,204,411,78,72,6
YOGGU,194,212,406,72,57,15
BATOYILI (KUNDANALI),197,198,395,77,62,15
TAMALGU,195,186,381,61,51,10
GBANGA,173,208,381,58,56,2
TUMAHI,186,183,369,92,52,40
GONA,183,156,339,65,58,7
BOTINGBLA,150,179,329,68,44,24
ADAYILI (ZANCHAGU),144,153,297,62,47,15
DIPALE (ADAAYILI),151,143,294,75,40,35
SILIMIBOMA,151,134,285,59,58,1
YEMO,121,132,253,39,38,1
YAPALSI,112,137,249,30,28,2
KPONG,35,30,65,18,12,6
