"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"Cannot do at all in at least one domain","Rural","Never attended","Savelugu Municipal","Male",1,0,0,0,0,1,4,0,3,0,4,2,0,0,3,0,1,0,0,0,0
"Cannot do at all in at least one domain","Rural","Never attended","Savelugu Municipal","Female",1,1,0,1,1,1,2,3,2,1,1,1,0,3,5,2,1,0,0,0,0
"Cannot do at all in at least one domain","Rural","Nursery","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Nursery","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Kindergarten","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Kindergarten","Savelugu Municipal","Female",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Primary","Savelugu Municipal","Male",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Primary","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Male",0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Female",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cannot do at all in at least one domain","Rural","SSS/SHS","Savelugu Municipal","Male",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
