Speech,Education,Locality,Sex,5-9,10-14,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
No difficulty,Never attended,Rural,Male,1117,684,379,237,780,799,916,729,843,564,518,296,341,186,211,136,117,49,23,5,3
No difficulty,Never attended,Rural,Female,1240,823,398,348,1429,1419,1523,1229,1113,709,562,303,366,151,224,147,172,46,20,2,4
No difficulty,Never attended,Urban,Male,755,368,322,221,690,725,1061,976,1096,870,733,354,425,246,292,173,157,53,19,3,4
No difficulty,Never attended,Urban,Female,966,521,328,291,1487,1969,2417,1916,1886,1131,913,456,579,328,440,289,314,103,38,5,6
No difficulty,Nursery,Rural,Male,134,1,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
No difficulty,Nursery,Rural,Female,115,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Nursery,Urban,Male,253,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Nursery,Urban,Female,246,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
No difficulty,Kindergarten,Rural,Male,563,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Kindergarten,Rural,Female,497,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Kindergarten,Urban,Male,1166,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Kindergarten,Urban,Female,1060,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
No difficulty,Primary,Rural,Male,2022,1862,91,71,131,112,68,66,38,22,16,8,7,5,1,3,3,0,0,0,0
No difficulty,Primary,Rural,Female,1681,1424,69,51,153,85,57,26,12,4,6,0,1,1,0,0,0,0,0,0,0
No difficulty,Primary,Urban,Male,3759,3246,127,102,193,123,134,90,72,41,29,20,16,11,5,3,1,0,3,0,0
No difficulty,Primary,Urban,Female,3484,2844,94,88,188,164,110,66,36,17,13,5,4,3,6,1,1,0,1,0,0
