Education_type,Locality,Sex,3-5 years,3,4,5,6-14 years,6,7,8,9,10,11,12,13,14,15-17 years,15,16,17,18-19 years,18,19,20-24 years,20,21,22,23,24,25-29 years,25,26,27,28,29,30 years & older
Nursery,Rural,Female,386,105,167,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursery,Rural,Male,419,103,183,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursery,Urban,Female,958,346,365,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nursery,Urban,Male,964,333,369,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindergarten,Rural,Female,636,121,265,250,246,152,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindergarten,Rural,Male,636,121,276,239,323,190,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindergarten,Urban,Female,1267,253,551,463,592,364,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindergarten,Urban,Male,1324,230,603,491,686,416,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary,Rural,Female,129,0,0,129,2893,336,349,462,399,365,364,295,203,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary,Rural,Male,174,0,0,174,3647,365,440,538,507,510,381,396,288,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary,Urban,Female,301,0,0,301,6003,633,776,904,883,788,663,599,456,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary,Urban,Male,308,0,0,308,6710,712,791,1015,970,952,705,684,542,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JSS/JHS,Rural,Female,0,0,0,0,226,0,0,0,0,5,20,38,66,97,406,196,130,80,104,60,44,20,20,0,0,0,0,0,0,0,0,0,0,0
JSS/JHS,Rural,Male,0,0,0,0,323,0,0,0,0,17,18,61,87,140,728,343,233,152,142,79,63,38,38,0,0,0,0,0,0,0,0,0,0,0
JSS/JHS,Urban,Female,0,0,0,0,673,0,0,0,0,31,48,139,186,269,1167,511,395,261,280,174,106,61,61,0,0,0,0,0,0,0,0,0,0,0
JSS/JHS,Urban,Male,0,0,0,0,731,0,0,0,0,40,43,160,216,272,1405,628,461,316,339,205,134,64,64,0,0,0,0,0,0,0,0,0,0,0
SSS/SHS,Rural,Female,0,0,0,0,3,0,0,0,0,0,0,0,1,2,103,26,43,34,95,42,53,113,48,31,16,13,5,7,7,0,0,0,0,0
SSS/SHS,Rural,Male,0,0,0,0,4,0,0,0,0,0,0,0,2,2,140,26,47,67,178,64,114,277,108,71,45,30,23,23,20,0,2,0,1,1
SSS/SHS,Urban,Female,0,0,0,0,5,0,0,0,0,0,0,0,2,3,497,74,144,279,704,344,360,951,386,378,97,57,33,37,31,1,2,3,0,2
SSS/SHS,Urban,Male,0,0,0,0,10,0,0,0,0,0,0,1,3,6,531,95,171,265,869,401,468,1495,579,525,227,112,52,67,59,3,1,1,3,0
Secondary,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Secondary,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Secondary,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,9,1,4,4,0,0,0,0,0,0,0,0,0
Secondary,Urban,Male,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,3,3,0,8,4,4,0,0,0,0,0,0,0,0,0,0
Voc/technical/commercial,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,0,2,0,1,0,0
Voc/technical/commercial,Rural,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,13,1,7,2,2,1,3
Voc/technical/commercial,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,30,2,13,2,7,6,8
