Language_of_Literacy,Education,Locality,Sex,6-11,12-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
English,Never attended,Rural,Female,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
English,Never attended,Rural,Male,7,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
English,Never attended,Urban,Female,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
English,Never attended,Urban,Male,4,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
English,Nursery,Rural,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Nursery,Rural,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Nursery,Urban,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Nursery,Urban,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
English,Kindergarten,Rural,Female,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Kindergarten,Rural,Male,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Kindergarten,Urban,Female,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Kindergarten,Urban,Male,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
English,Primary,Rural,Female,628,353,51,82,34,18,4,5,2,0,0,0,1,0,0,0,0,0,0,0
English,Primary,Rural,Male,733,520,73,59,51,35,20,17,6,5,5,3,1,0,0,1,0,0,0,0
English,Primary,Urban,Female,1991,890,82,88,72,39,27,9,5,3,2,0,2,3,0,0,0,1,0,0
English,Primary,Urban,Male,2089,997,94,82,60,69,43,31,20,14,7,7,3,3,1,0,0,0,0,0
English,JSS/JHS,Rural,Female,24,206,599,193,130,71,25,7,6,3,0,0,0,0,0,0,0,0,0,0
English,JSS/JHS,Rural,Male,35,291,959,257,158,145,87,50,26,14,1,0,0,0,0,0,0,0,0,0
English,JSS/JHS,Urban,Female,78,585,1549,436,315,178,63,39,13,4,4,0,0,0,0,0,0,0,0,0
English,JSS/JHS,Urban,Male,82,637,1848,426,272,279,169,107,63,22,10,0,0,0,0,0,0,0,0,0
English,Middle,Rural,Female,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
English,Middle,Rural,Male,0,0,0,0,0,0,0,0,5,4,7,5,4,2,0,1,0,0,0,0
English,Middle,Urban,Female,0,0,0,0,0,0,0,0,2,3,11,10,2,2,0,1,0,0,0,0
English,Middle,Urban,Male,0,0,0,0,0,0,0,0,6,18,17,17,19,15,6,5,1,0,0,0
English,SSS/SHS,Rural,Female,0,3,229,282,115,33,11,4,4,1,0,0,0,0,0,0,0,0,0,0
English,SSS/SHS,Rural,Male,0,4,349,498,301,158,64,45,31,3,0,0,0,0,0,0,0,0,0,0
English,SSS/SHS,Urban,Female,0,5,1265,1456,506,199,71,36,13,2,0,0,0,0,0,0,0,0,0,0
English,SSS/SHS,Urban,Male,0,10,1450,1956,583,391,234,168,111,16,0,0,0,0,0,0,0,0,0,0
