"Population (6 years and older) by Literacy_status, Education, Geographic_Area, Locality, Sex and Age"

"Literacy_status","Education","Geographic_Area","Locality","Sex","6-10","11-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"Not literate","Never attended","Savelugu Municipal","Rural","Male",998,506,615,784,802,922,732,849,567,529,297,345,190,216,146,129,57,25,7,3
"Not literate","Never attended","Savelugu Municipal","Rural","Female",1123,618,756,1437,1427,1535,1238,1125,716,569,305,374,157,234,169,187,51,25,2,6
"Not literate","Never attended","Savelugu Municipal","Urban","Male",597,280,555,708,738,1070,984,1112,887,738,360,439,249,301,182,165,60,26,3,6
"Not literate","Never attended","Savelugu Municipal","Urban","Female",755,422,629,1499,1988,2435,1932,1910,1146,922,462,602,344,456,303,335,118,40,8,10
"Not literate","Nursery","Savelugu Municipal","Rural","Male",1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Not literate","Nursery","Savelugu Municipal","Rural","Female",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Nursery","Savelugu Municipal","Urban","Male",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Nursery","Savelugu Municipal","Urban","Female",1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Not literate","Kindergarten","Savelugu Municipal","Rural","Male",297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Kindergarten","Savelugu Municipal","Rural","Female",224,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Kindergarten","Savelugu Municipal","Urban","Male",533,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Kindergarten","Savelugu Municipal","Urban","Female",469,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Primary","Savelugu Municipal","Rural","Male",1777,638,88,70,62,32,44,18,14,9,2,3,3,1,1,2,0,0,0,0
"Not literate","Primary","Savelugu Municipal","Rural","Female",1417,537,68,70,52,36,22,6,2,5,0,0,0,0,0,0,0,0,0,0
"Not literate","Primary","Savelugu Municipal","Urban","Male",2678,890,134,104,60,61,40,34,14,10,8,6,6,1,1,0,0,3,0,0
"Not literate","Primary","Savelugu Municipal","Urban","Female",2366,734,100,95,91,68,36,26,12,11,3,4,1,3,1,1,0,0,0,0
"Not literate","JSS/JHS","Savelugu Municipal","Rural","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","JSS/JHS","Savelugu Municipal","Rural","Female",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","JSS/JHS","Savelugu Municipal","Urban","Male",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","JSS/JHS","Savelugu Municipal","Urban","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Middle","Savelugu Municipal","Rural","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Middle","Savelugu Municipal","Rural","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Middle","Savelugu Municipal","Urban","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","Middle","Savelugu Municipal","Urban","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Not literate","SSS/SHS","Savelugu Municipal","Rural","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
